4;52;蛇龙之巢;0;0
5;60;极地迷宫;0;0
6;61;香格里拉;0;0
8;63;十六的月;0;0
9;64;金字塔;0;0
7;62;哥特房屋;0;0
10;65;早已冷却的心脏;0;0
11;45;幽灵船长船室;0;0
12;83;领主房间;0;0
13;82;齐麦罗研究所;0;0
40;138;空中楼阁;0;0
38;132;精灵城;0;0
39;135;黑暗塔城;0;0
14;88;瓦尔哈拉;0;0
15;96;怪物大厦;0;0
34;113;蛤蟆森林;0;0
35;114;蛤蟆山岳;0;0
36;115;蛤蟆洞穴;0;0
37;116;蛤蟆谷;0;0
63;144;地狱之门;0;0
41;139;不知名的世界;0;0
601;700;水晶洞穴;0;0
602;702;宝库洞穴;0;0
118;201;秘密藏书库;0;0
744;199;遗忘花园;0;0
124;209;星之峭壁;0;0
125;211;星之摇篮;0;0
801;705;通天塔;0;0
143;229;封印之塔地下;0;0
745;931;天空之城;0;0
747;936;空中战场;0;0
123;206;虎狼寺;0;0
144;231;燃烧丛林;0;0
152;255;餐厅大乱斗;0;0
772;669;秘密实验室;0;0
157;271;花之路;0;0
158;272;月之路;0;0
159;273;梦之路;0;0
155;283;世界之树;0;0
156;285;地铁中枢;0;0
1210;690;圣域之塔;0;0
435;693;神秘的迷宫教室入口;0;0
436;974;火山超能场;0;0
437;304;珊瑚森林;0;0
191;310;索拉城斗兽场;0;0
98501;293;白色平原;0;0
98502;54;肚子密室;0;0
32601;326;迷之仓库;0;0
98530;330;梦幻图书馆;0;0
200;323;月华苑;0;0
201;324;龙皇殿;0;0
94801;93;克杜卡的咆哮;0;0
94701;95;不动心黑月城;0;0
991;991;猫头鹰的神秘组织;0;0
992;992;樱树湖历险;0;0
94901;830;幻想梦境;0;0
82800;828;海嘉尔大桥;0;0
95201;840;被感染的哎呦城;0;0
83500;835;金字塔的秘密;0;0
83600;836;保护春植园;0;0
83700;837;入侵太空农场;0;0
95800;833;记忆深谷;0;0
255;332;隐藏的洞穴;0;0
256;334;破坏之城;0;0
186;585;吉恩蒂亚仓库;0;0
96106;843;路德维希大峡谷;0;0
258;341;里维拉市政府;0;0
259;340;魔石实验室;0;0
96107;586;影子之书;0;0
265;345;神秘殿堂;8630018;8630019
266;343;恶魔峡谷;8630018;8630019
268;349;神圣教堂;8630018;8630019
272;351;矮人飞艇;0;0
273;356;太阳宫殿;8630020;8630021
274;357;太阳神地下祭坛;8630020;8630021
275;361;藏宝洞穴;0;0
276;362;夕阳森林;0;0
277;905;宇宙开拓者：星际银河;8630026;8630027
278;904;地城追猎者：蚁穴迷踪;8630026;8630027
283;369;宝石丛林;8630022;8630023
285;372;春植岛纪念馆;0;0
284;374;冰激凌庭院;0;0
289;379;浮游岛;8630024;8630025
290;377;幻影毒雾沼泽;8630024;8630025
19865;865;流体实验室;0;0
19866;902;无尽迷失者：精神交错;8630026;8630027
19867;867;腐化之眼;0;0
19868;901;神庙探索者：腐化核心;8630026;8630027
297;387;混沌峡谷;8630028;8630029
298;384;冰封雪域;8630028;8630029
303;389;阿玛伦宝库;8630030;8630031
305;406;超能者纪念馆;8630032;8630033
306;408;奈落之屋;8630032;8630033
69600;696;燥热键盘;69570030;69570031
69900;699;水下培养皿;69570030;69570031
201101;869;星之伊甸;0;0
325;416;龙之峡谷;8630034;8630035
324;418;神树拉菲尔;8630034;8630035
87100;871;神笔画卷;8630036;8630037
328;431;魔法修炼馆;0;0
257;337;欧若拉庭院;0;0
302;390;拉之城墙;0;0
269;350;巧克力花园;0;0
282;371;瀑布丛林;0;0
69700;697;阿尔福那酒店;0;0
271;352;扭曲的世界树;0;0
310;414;怪物树山山谷;0;0
329;432;魔法学院主楼;0;0
338;441;魔力防空洞;8630060;8630061
337;443;梦境奥涅伊鲁;8630060;8630061
8830;883;卡夫卡剧场;69570030;69570031
8760;876;山海归墟;8630036;8630037
345;456;虚无之星;8630062;8630063
346;457;忘却湖畔;8630062;8630063
8850;885;八卦阵赛场;8630036;8630037
348;460;幻之摇篮;8630064;8630065
349;461;玫瑰庭院;8630064;8630065
8860;886;武林大会;8630036;8630037
8880;888;傀儡牢狱;8630036;8630037
350;472;希列;8630066;8630067
351;470;盟约圣地;8630066;8630067
352;469;龙猫妹妹庭院;0;0
360;492;冰狱;8630068;8630069
361;491;回声泉;8630068;8630069
365;494;心脏的记忆;0;0
366;499;阿科洛之棺;8630070;8630071
8920;892;圣字教堂;8630072;8630073
8930;893;哈姆克公爵府;8630072;8630073
369;1009;巴尼塔斯;8630074;8630075
370;1008;炼狱阿兹雷尔;8630074;8630075
372;1015;克洛诺斯的时间;0;0
373;1014;卡伊洛斯的时间;8630076;8630077
374;1016;未知森林;8630076;8630077
8960;896;霍普占卜室;8630078;8630079
8970;897;普洛菲司台;8630078;8630079
375;1018;深渊之镜;8630080;8630081
376;1017;艾乌加蒙剧场;8630080;8630081
5180;518;流水回廊;69570030;69570031
999005;52;奈落·蛇龙之巢;0;0
999002;382;奈落·珊瑚之歌;0;0
999003;374;奈落·冰淇淋庭院;0;0
999004;334;奈落·破坏之城;0;0
999001;384;奈落·冰封雪域;0;0
383;1031;生命之恩泰莱凯;8630082;8630083
384;1032;精灵树桩;8630082;8630083
90056;898;泡泡战舰;0;0
